GAME_ID,TEAM_ABBREVIATION,PF
0021700545,BKN,22
0021700545,ORL,18
0021700547,CHI,21
0021700547,POR,16
0021700546,TOR,20
0021700553,LAC,24
0021700550,NYK,23
0021700551,ATL,22
0021700549,CLE,17
0021700551,PHX,22
0021700549,POR,29
0021700552,SAC,19
0021700550,SAS,17
0021700553,MEM,29
0021700552,CHA,14
0021700554,HOU,19
0021700565,LAL,10
0021700558,MIA,16
0021700561,MIL,23
0021700557,MIN,12
0021700557,BKN,23
0021700556,NYK,20
0021700554,ORL,19
0021700561,IND,20
0021700555,PHI,21
0021700559,BOS,20
0021700559,CLE,17
0021700564,NOP,18
0021700560,CHI,20
0021700562,DAL,17
0021700563,DEN,16
0021700562,GSW,21
0021700563,PHX,18
0021700555,SAS,25
0021700565,OKC,17
0021700560,TOR,20
0021700564,UTA,21
0021700556,WAS,21
0021700558,DET,14
0021700566,HOU,17
0021700567,LAC,15
0021700566,GSW,18
0021700567,OKC,23
0021700577,LAL,19
0021700568,MIA,19
0021700571,MIL,23
0021700570,MIN,15
0021700568,NYK,26
0021700569,PHI,17
0021700576,ATL,16
0021700570,BOS,22
0021700572,CHI,19
0021700572,DAL,24
0021700574,DEN,11
0021700573,PHX,23
0021700576,POR,20
0021700573,SAS,16
0021700571,TOR,22
0021700574,UTA,16
0021700575,MEM,25
0021700575,WAS,23
0021700569,DET,14
0021700577,CHA,17
0021700580,HOU,20
0021700578,LAC,25
0021700583,MIL,26
0021700584,MIN,20
0021700579,BKN,14
0021700582,ORL,28
0021700581,IND,19
0021700579,BOS,17
0021700582,CLE,26
0021700584,NOP,19
0021700581,CHI,15
0021700585,DEN,17
0021700578,GSW,25
0021700585,SAC,22
0021700583,WAS,22
0021700580,DET,15
0021700590,LAL,25
0021700586,MIA,16
0021700587,NYK,23
0021700590,ATL,16
0021700587,DAL,20
0021700588,PHX,19
0021700589,POR,24
0021700589,SAS,16
0021700588,OKC,17
0021700586,UTA,18
0021700593,HOU,14
0021700598,LAC,25
0021700591,MIL,24
0021700594,MIN,17
0021700592,BKN,27
0021700591,IND,23
0021700598,ATL,26
0021700594,CLE,15
0021700595,NOP,18
0021700593,CHI,17
0021700597,DEN,16
0021700597,GSW,15
0021700596,SAC,14
0021700596,SAS,12
0021700592,TOR,27
0021700595,DET,18
0021700602,LAL,23
0021700599,MIA,19
0021700601,ORL,23
0021700601,DAL,22
0021700600,POR,20
0021700602,SAC,19
0021700600,OKC,17
0021700599,TOR,16
0021700608,HOU,30
0021700613,LAC,19
0021700604,MIA,25
0021700610,MIL,21
0021700611,MIN,22
0021700606,BKN,11
0021700607,NYK,20
0021700610,ORL,21
0021700604,IND,23
0021700612,ATL,23
0021700609,NOP,26
0021700607,CHI,19
0021700603,DAL,22
0021700612,DEN,18
0021700613,GSW,21
0021700608,POR,26
0021700611,OKC,22
0021700605,UTA,17
0021700609,MEM,26
0021700605,WAS,17
0021700606,DET,14
0021700603,CHA,22
0021700616,LAC,19
0021700617,LAL,17
0021700614,PHI,19
0021700614,BOS,18
0021700615,CLE,16
0021700616,SAC,25
0021700617,SAS,15
0021700615,TOR,25
0021700626,HOU,14
0021700622,MIL,20
0021700623,MIN,12
0021700621,BKN,24
0021700623,NYK,17
0021700620,ORL,21
0021700619,IND,18
0021700621,ATL,25
0021700619,CLE,15
0021700624,NOP,16
0021700625,DEN,18
0021700622,GSW,13
0021700626,PHX,19
0021700624,POR,22
0021700618,UTA,26
0021700625,MEM,28
0021700620,WAS,22
0021700618,CHA,19
0021700628,LAC,22
0021700627,LAL,31
0021700630,BKN,22
0021700632,CHI,11
0021700627,DAL,17
0021700633,DEN,16
0021700631,GSW,20
0021700628,SAC,24
0021700633,SAS,17
0021700629,OKC,22
0021700631,TOR,23
0021700630,WAS,19
0021700632,DET,11
0021700629,CHA,15
0021700634,MIA,18
0021700634,MIL,23
0021700637,MIN,17
0021700635,NYK,27
0021700636,IND,22
0021700635,NOP,17
0021700636,PHX,16
